,X,Participant,gender,lamount,ldealy,samount,sdelay,choices1,choice2,RT_first,pick_larger_position,block_order,RT_second,adjusting.order,condition,group,switch,mark1
3503,15353,1002,1,30,7,24,0,1,0,2.831862926,NA,1,NA,1,dgs,1,0,1
3502,15352,1002,1,30,7,27,0,1,0,5.475978851,NA,1,NA,1,dgs,1,0,1
3501,15351,1002,1,30,7,30,0,1,0,19.13463306,NA,1,NA,1,dgs,1,1,1
3520,15370,1002,1,30,15,3,0,1,0,1.799249172,NA,1,NA,1,dgs,1,0,1
3519,15369,1002,1,30,15,6,0,1,0,1.924415112,NA,1,NA,1,dgs,1,0,1
3518,15368,1002,1,30,15,9,0,1,0,1.830542088,NA,1,NA,1,dgs,1,0,1
3517,15367,1002,1,30,15,12,0,1,0,4.412073851,NA,1,NA,1,dgs,1,0,1
3516,15366,1002,1,30,15,15,0,1,0,1.799258947,NA,1,NA,1,dgs,1,0,1
3515,15365,1002,1,30,15,18,0,1,0,1.830538988,NA,1,NA,1,dgs,1,0,1
3514,15364,1002,1,30,15,21,0,1,0,2.065227985,NA,1,NA,1,dgs,1,0,1
3513,15363,1002,1,30,15,24,0,1,0,2.331201792,NA,1,NA,1,dgs,1,0,1
3512,15362,1002,1,30,15,27,0,1,0,2.127810001,NA,1,NA,1,dgs,1,0,1
3511,15361,1002,1,30,15,30,0,1,0,2.440721035,NA,1,NA,1,dgs,1,1,1
3540,15390,1002,1,30,29,3,0,1,0,1.90625596,NA,1,NA,1,dgs,1,0,0
3539,15389,1002,1,30,29,6,0,1,0,1.76563096,NA,1,NA,1,dgs,1,0,0
3538,15388,1002,1,30,29,9,0,1,0,2.906260014,NA,1,NA,1,dgs,1,0,0
3537,15387,1002,1,30,29,12,0,1,0,1.78125596,NA,1,NA,1,dgs,1,0,0
3536,15386,1002,1,30,29,15,0,1,0,2.296883106,NA,1,NA,1,dgs,1,1,0
3535,15385,1002,1,30,29,18,0,0,1,1.984381914,NA,1,NA,1,dgs,1,1,0
3534,15384,1002,1,30,29,21,0,1,0,1.343755007,NA,1,NA,1,dgs,1,1,0
3533,15383,1002,1,30,29,24,0,1,0,2.125006914,NA,1,NA,1,dgs,1,0,0
3532,15382,1002,1,30,29,27,0,1,0,1.515630007,NA,1,NA,1,dgs,1,0,0
3531,15381,1002,1,30,29,30,0,1,0,2.890631914,NA,1,NA,1,dgs,1,0,0
3550,15400,1002,1,30,56,3,0,1,0,1.328128815,NA,1,NA,1,dgs,1,0,0
3549,15399,1002,1,30,56,6,0,1,0,1.843755007,NA,1,NA,1,dgs,1,0,0
3548,15398,1002,1,30,56,9,0,1,0,1.93750906,NA,1,NA,1,dgs,1,0,0
3547,15397,1002,1,30,56,12,0,1,0,1.671878099,NA,1,NA,1,dgs,1,0,0
3546,15396,1002,1,30,56,15,0,1,0,1.375005007,NA,1,NA,1,dgs,1,0,0
3545,15395,1002,1,30,56,18,0,1,0,1.59375596,NA,1,NA,1,dgs,1,0,0
3544,15394,1002,1,30,56,21,0,1,0,2.12500906,NA,1,NA,1,dgs,1,1,0
3543,15393,1002,1,30,56,24,0,0,1,1.937505007,NA,1,NA,1,dgs,1,1,0
3542,15392,1002,1,30,56,27,0,0,1,2.51563406,NA,1,NA,1,dgs,1,0,0
3541,15391,1002,1,30,56,30,0,0,1,3.156260014,NA,1,NA,1,dgs,1,0,0
3530,15380,1002,1,30,101,3,0,1,0,1.375004053,NA,1,NA,1,dgs,1,0,0
3529,15379,1002,1,30,101,6,0,1,0,1.546880007,NA,1,NA,1,dgs,1,0,0
3528,15378,1002,1,30,101,9,0,1,0,2.109381914,NA,1,NA,1,dgs,1,0,0
3527,15377,1002,1,30,101,12,0,1,0,1.671881914,NA,1,NA,1,dgs,1,0,0
3526,15376,1002,1,30,101,15,0,1,0,1.78290391,NA,1,NA,1,dgs,1,0,0
3525,15375,1002,1,30,101,18,0,1,0,2.252974987,NA,1,NA,1,dgs,1,1,0
3524,15374,1002,1,30,101,21,0,0,1,2.127808094,NA,1,NA,1,dgs,1,1,0
3523,15373,1002,1,30,101,24,0,0,1,3.989643097,NA,1,NA,1,dgs,1,1,0
3522,15372,1002,1,30,101,27,0,1,0,6.039220095,NA,1,NA,1,dgs,1,1,0
3521,15371,1002,1,30,101,30,0,1,0,2.237327814,NA,1,NA,1,dgs,1,0,0
780,4280,1003,1,30,7,3,0,1,0,1.984706879,NA,2,NA,1,dgs,1,0,0
779,4279,1003,1,30,7,6,0,1,0,2.469163895,NA,2,NA,1,dgs,1,0,0
778,4278,1003,1,30,7,9,0,1,0,2.078471899,NA,2,NA,1,dgs,1,0,0
777,4277,1003,1,30,7,12,0,1,0,2.40665102,NA,2,NA,1,dgs,1,0,0
776,4276,1003,1,30,7,15,0,1,0,2.859852076,NA,2,NA,1,dgs,1,0,0
775,4275,1003,1,30,7,18,0,1,0,2.50041914,NA,2,NA,1,dgs,1,0,0
774,4274,1003,1,30,7,21,0,1,0,3.391190052,NA,2,NA,1,dgs,1,0,0
773,4273,1003,1,30,7,24,0,1,0,2.719208002,NA,2,NA,1,dgs,1,0,0
