Participant	block_order	trial	A	B	DA	DB	R	index	ID	PA	PB
3001	1	1	30	30	0	7	0	1	1	1	1
3001	1	2	27	30	0	7	0	1	1	1	1
3001	1	3	24	30	0	7	1	1	1	1	1
3001	1	4	21	30	0	7	0	1	1	1	1
3001	1	5	18	30	0	7	1	1	1	1	1
3001	1	6	15	30	0	7	1	1	1	1	1
3001	1	7	12	30	0	7	1	1	1	1	1
3001	1	8	9	30	0	7	1	1	1	1	1
3001	1	9	6	30	0	7	1	1	1	1	1
3001	1	10	3	30	0	7	1	1	1	1	1
3001	1	11	30	30	0	15	0	2	1	1	1
3001	1	12	27	30	0	15	0	2	1	1	1
3001	1	13	24	30	0	15	0	2	1	1	1
3001	1	14	21	30	0	15	1	2	1	1	1
3001	1	15	18	30	0	15	1	2	1	1	1
3001	1	16	15	30	0	15	0	2	1	1	1
3001	1	17	12	30	0	15	1	2	1	1	1
3001	1	18	9	30	0	15	1	2	1	1	1
3001	1	19	6	30	0	15	1	2	1	1	1
3001	1	20	3	30	0	15	1	2	1	1	1
3001	1	21	30	30	0	101	0	3	1	1	1
3001	1	22	27	30	0	101	0	3	1	1	1
3001	1	23	24	30	0	101	0	3	1	1	1
3001	1	24	21	30	0	101	1	3	1	1	1
3001	1	25	18	30	0	101	1	3	1	1	1
3001	1	26	15	30	0	101	1	3	1	1	1
3001	1	27	12	30	0	101	1	3	1	1	1
3001	1	28	9	30	0	101	0	3	1	1	1
3001	1	29	6	30	0	101	1	3	1	1	1
3001	1	30	3	30	0	101	1	3	1	1	1
3001	1	31	30	30	0	29	0	4	1	1	1
3001	1	32	27	30	0	29	0	4	1	1	1
3001	1	33	24	30	0	29	1	4	1	1	1
3001	1	34	21	30	0	29	0	4	1	1	1
3001	1	35	18	30	0	29	0	4	1	1	1
3001	1	36	15	30	0	29	1	4	1	1	1
3001	1	37	12	30	0	29	1	4	1	1	1
3001	1	38	9	30	0	29	1	4	1	1	1
3001	1	39	6	30	0	29	1	4	1	1	1
3001	1	40	3	30	0	29	1	4	1	1	1
3001	1	41	30	30	0	56	0	5	1	1	1
3001	1	42	27	30	0	56	0	5	1	1	1
3001	1	43	24	30	0	56	0	5	1	1	1
3001	1	44	21	30	0	56	0	5	1	1	1
3001	1	45	18	30	0	56	1	5	1	1	1
3001	1	46	15	30	0	56	1	5	1	1	1
3001	1	47	12	30	0	56	1	5	1	1	1
3001	1	48	9	30	0	56	1	5	1	1	1
3001	1	49	6	30	0	56	1	5	1	1	1
3001	1	50	3	30	0	56	1	5	1	1	1
3002	2	1	3	30	0	15	1	1	2	1	1
3002	2	2	6	30	0	15	1	1	2	1	1
3002	2	3	9	30	0	15	1	1	2	1	1
3002	2	4	12	30	0	15	0	1	2	1	1
3002	2	5	15	30	0	15	0	1	2	1	1
3002	2	6	18	30	0	15	0	1	2	1	1
3002	2	7	21	30	0	15	0	1	2	1	1
3002	2	8	24	30	0	15	0	1	2	1	1
3002	2	9	27	30	0	15	0	1	2	1	1
3002	2	10	30	30	0	15	0	1	2	1	1
3002	2	11	3	30	0	29	1	2	2	1	1
3002	2	12	6	30	0	29	0	2	2	1	1
3002	2	13	9	30	0	29	0	2	2	1	1
3002	2	14	12	30	0	29	0	2	2	1	1
3002	2	15	15	30	0	29	0	2	2	1	1
3002	2	16	18	30	0	29	0	2	2	1	1
3002	2	17	21	30	0	29	0	2	2	1	1
3002	2	18	24	30	0	29	0	2	2	1	1
3002	2	19	27	30	0	29	1	2	2	1	1
3002	2	20	30	30	0	29	0	2	2	1	1
3002	2	21	3	30	0	7	0	3	2	1	1
3002	2	22	6	30	0	7	0	3	2	1	1
3002	2	23	9	30	0	7	1	3	2	1	1
3002	2	24	12	30	0	7	1	3	2	1	1
3002	2	25	15	30	0	7	0	3	2	1	1
3002	2	26	18	30	0	7	0	3	2	1	1
3002	2	27	21	30	0	7	0	3	2	1	1
3002	2	28	24	30	0	7	0	3	2	1	1
3002	2	29	27	30	0	7	0	3	2	1	1
3002	2	30	30	30	0	7	1	3	2	1	1
3002	2	31	3	30	0	56	0	4	2	1	1
3002	2	32	6	30	0	56	0	4	2	1	1
3002	2	33	9	30	0	56	1	4	2	1	1
3002	2	34	12	30	0	56	0	4	2	1	1
3002	2	35	15	30	0	56	0	4	2	1	1
3002	2	36	18	30	0	56	0	4	2	1	1
3002	2	37	21	30	0	56	0	4	2	1	1
3002	2	38	24	30	0	56	0	4	2	1	1
3002	2	39	27	30	0	56	0	4	2	1	1
3002	2	40	30	30	0	56	0	4	2	1	1
3002	2	41	3	30	0	101	1	5	2	1	1
3002	2	42	6	30	0	101	0	5	2	1	1
3002	2	43	9	30	0	101	0	5	2	1	1
3002	2	44	12	30	0	101	0	5	2	1	1
3002	2	45	15	30	0	101	0	5	2	1	1
3002	2	46	18	30	0	101	1	5	2	1	1
3002	2	47	21	30	0	101	0	5	2	1	1
3002	2	48	24	30	0	101	0	5	2	1	1
3002	2	49	27	30	0	101	0	5	2	1	1
3002	2	50	30	30	0	101	0	5	2	1	1
3003	3	1	30	30	0	29	0	1	3	1	1
3003	3	2	27	30	0	29	0	1	3	1	1
3003	3	3	24	30	0	29	1	1	3	1	1
3003	3	4	21	30	0	29	1	1	3	1	1
3003	3	5	18	30	0	29	1	1	3	1	1
3003	3	6	15	30	0	29	1	1	3	1	1
3003	3	7	12	30	0	29	1	1	3	1	1
3003	3	8	9	30	0	29	1	1	3	1	1
3003	3	9	6	30	0	29	1	1	3	1	1
3003	3	10	3	30	0	29	1	1	3	1	1
3003	3	11	30	30	0	56	0	2	3	1	1
3003	3	12	27	30	0	56	0	2	3	1	1
3003	3	13	24	30	0	56	0	2	3	1	1
3003	3	14	21	30	0	56	0	2	3	1	1
3003	3	15	18	30	0	56	1	2	3	1	1
3003	3	16	15	30	0	56	1	2	3	1	1
3003	3	17	12	30	0	56	1	2	3	1	1
3003	3	18	9	30	0	56	1	2	3	1	1
3003	3	19	6	30	0	56	1	2	3	1	1
3003	3	20	3	30	0	56	1	2	3	1	1
3003	3	21	30	30	0	15	0	3	3	1	1
3003	3	22	27	30	0	15	1	3	3	1	1
3003	3	23	24	30	0	15	1	3	3	1	1
3003	3	24	21	30	0	15	1	3	3	1	1
3003	3	25	18	30	0	15	1	3	3	1	1
3003	3	26	15	30	0	15	1	3	3	1	1
3003	3	27	12	30	0	15	1	3	3	1	1
3003	3	28	9	30	0	15	1	3	3	1	1
3003	3	29	6	30	0	15	1	3	3	1	1
3003	3	30	3	30	0	15	1	3	3	1	1
3003	3	31	30	30	0	101	0	4	3	1	1
3003	3	32	27	30	0	101	0	4	3	1	1
3003	3	33	24	30	0	101	0	4	3	1	1
3003	3	34	21	30	0	101	0	4	3	1	1
3003	3	35	18	30	0	101	1	4	3	1	1
3003	3	36	15	30	0	101	1	4	3	1	1
3003	3	37	12	30	0	101	1	4	3	1	1
3003	3	38	9	30	0	101	1	4	3	1	1
3003	3	39	6	30	0	101	1	4	3	1	1
3003	3	40	3	30	0	101	1	4	3	1	1
3003	3	41	30	30	0	7	0	5	3	1	1
3003	3	42	27	30	0	7	1	5	3	1	1
3003	3	43	24	30	0	7	1	5	3	1	1
3003	3	44	21	30	0	7	1	5	3	1	1
3003	3	45	18	30	0	7	1	5	3	1	1
3003	3	46	15	30	0	7	1	5	3	1	1
3003	3	47	12	30	0	7	1	5	3	1	1
3003	3	48	9	30	0	7	1	5	3	1	1
3003	3	49	6	30	0	7	1	5	3	1	1
3003	3	50	3	30	0	7	1	5	3	1	1
3005	4	1	30	30	0	56	0	1	4	1	1
3005	4	2	27	30	0	56	0	1	4	1	1
3005	4	3	24	30	0	56	0	1	4	1	1
3005	4	4	21	30	0	56	1	1	4	1	1
3005	4	5	18	30	0	56	1	1	4	1	1
3005	4	6	15	30	0	56	1	1	4	1	1
3005	4	7	12	30	0	56	1	1	4	1	1
3005	4	8	9	30	0	56	1	1	4	1	1
3005	4	9	6	30	0	56	1	1	4	1	1
3005	4	10	3	30	0	56	1	1	4	1	1
3005	4	11	30	30	0	101	0	2	4	1	1
3005	4	12	27	30	0	101	0	2	4	1	1
3005	4	13	24	30	0	101	0	2	4	1	1
3005	4	14	21	30	0	101	0	2	4	1	1
3005	4	15	18	30	0	101	0	2	4	1	1
3005	4	16	15	30	0	101	1	2	4	1	1
3005	4	17	12	30	0	101	1	2	4	1	1
3005	4	18	9	30	0	101	1	2	4	1	1
3005	4	19	6	30	0	101	1	2	4	1	1
3005	4	20	3	30	0	101	1	2	4	1	1
3005	4	21	30	30	0	29	0	3	4	1	1
3005	4	22	27	30	0	29	0	3	4	1	1
3005	4	23	24	30	0	29	1	3	4	1	1
3005	4	24	21	30	0	29	1	3	4	1	1
3005	4	25	18	30	0	29	1	3	4	1	1
3005	4	26	15	30	0	29	1	3	4	1	1
3005	4	27	12	30	0	29	1	3	4	1	1
3005	4	28	9	30	0	29	1	3	4	1	1
3005	4	29	6	30	0	29	1	3	4	1	1
3005	4	30	3	30	0	29	1	3	4	1	1
3005	4	31	30	30	0	7	0	4	4	1	1
3005	4	32	27	30	0	7	1	4	4	1	1
3005	4	33	24	30	0	7	1	4	4	1	1
3005	4	34	21	30	0	7	1	4	4	1	1
3005	4	35	18	30	0	7	1	4	4	1	1
3005	4	36	15	30	0	7	1	4	4	1	1
3005	4	37	12	30	0	7	1	4	4	1	1
3005	4	38	9	30	0	7	1	4	4	1	1
3005	4	39	6	30	0	7	1	4	4	1	1
3005	4	40	3	30	0	7	1	4	4	1	1
3005	4	41	30	30	0	15	0	5	4	1	1
3005	4	42	27	30	0	15	1	5	4	1	1
3005	4	43	24	30	0	15	1	5	4	1	1
3005	4	44	21	30	0	15	1	5	4	1	1
3005	4	45	18	30	0	15	1	5	4	1	1
3005	4	46	15	30	0	15	1	5	4	1	1
3005	4	47	12	30	0	15	1	5	4	1	1
3005	4	48	9	30	0	15	1	5	4	1	1
3005	4	49	6	30	0	15	1	5	4	1	1
3005	4	50	3	30	0	15	1	5	4	1	1
3007	5	1	30	30	0	101	0	1	5	1	1
3007	5	2	27	30	0	101	0	1	5	1	1
3007	5	3	24	30	0	101	1	1	5	1	1
3007	5	4	21	30	0	101	1	1	5	1	1
3007	5	5	18	30	0	101	0	1	5	1	1
3007	5	6	15	30	0	101	0	1	5	1	1
3007	5	7	12	30	0	101	1	1	5	1	1
3007	5	8	9	30	0	101	1	1	5	1	1
3007	5	9	6	30	0	101	1	1	5	1	1
3007	5	10	3	30	0	101	1	1	5	1	1
3007	5	11	30	30	0	7	0	2	5	1	1
3007	5	12	27	30	0	7	1	2	5	1	1
3007	5	13	24	30	0	7	1	2	5	1	1
3007	5	14	21	30	0	7	1	2	5	1	1
3007	5	15	18	30	0	7	1	2	5	1	1
3007	5	16	15	30	0	7	1	2	5	1	1
3007	5	17	12	30	0	7	1	2	5	1	1
3007	5	18	9	30	0	7	1	2	5	1	1
3007	5	19	6	30	0	7	1	2	5	1	1
3007	5	20	3	30	0	7	1	2	5	1	1
3007	5	21	30	30	0	56	0	3	5	1	1
3007	5	22	27	30	0	56	0	3	5	1	1
3007	5	23	24	30	0	56	1	3	5	1	1
3007	5	24	21	30	0	56	1	3	5	1	1
3007	5	25	18	30	0	56	1	3	5	1	1
3007	5	26	15	30	0	56	1	3	5	1	1
3007	5	27	12	30	0	56	1	3	5	1	1
3007	5	28	9	30	0	56	1	3	5	1	1
3007	5	29	6	30	0	56	1	3	5	1	1
3007	5	30	3	30	0	56	1	3	5	1	1
3007	5	31	30	30	0	15	0	4	5	1	1
3007	5	32	27	30	0	15	0	4	5	1	1
3007	5	33	24	30	0	15	0	4	5	1	1
3007	5	34	21	30	0	15	0	4	5	1	1
3007	5	35	18	30	0	15	1	4	5	1	1
3007	5	36	15	30	0	15	1	4	5	1	1
3007	5	37	12	30	0	15	1	4	5	1	1
3007	5	38	9	30	0	15	1	4	5	1	1
3007	5	39	6	30	0	15	1	4	5	1	1
3007	5	40	3	30	0	15	1	4	5	1	1
3007	5	41	30	30	0	29	0	5	5	1	1
3007	5	42	27	30	0	29	0	5	5	1	1
3007	5	43	24	30	0	29	0	5	5	1	1
3007	5	44	21	30	0	29	0	5	5	1	1
3007	5	45	18	30	0	29	1	5	5	1	1
3007	5	46	15	30	0	29	1	5	5	1	1
3007	5	47	12	30	0	29	1	5	5	1	1
3007	5	48	9	30	0	29	1	5	5	1	1
3007	5	49	6	30	0	29	1	5	5	1	1
3007	5	50	3	30	0	29	1	5	5	1	1
3010	6	1	3	30	0	56	0	1	6	1	1
3010	6	2	6	30	0	56	0	1	6	1	1
3010	6	3	9	30	0	56	0	1	6	1	1
3010	6	4	12	30	0	56	0	1	6	1	1
3010	6	5	15	30	0	56	0	1	6	1	1
3010	6	6	18	30	0	56	0	1	6	1	1
3010	6	7	21	30	0	56	0	1	6	1	1
3010	6	8	24	30	0	56	0	1	6	1	1
3010	6	9	27	30	0	56	0	1	6	1	1
3010	6	10	30	30	0	56	0	1	6	1	1
3010	6	11	3	30	0	29	0	2	6	1	1
3010	6	12	6	30	0	29	0	2	6	1	1
3010	6	13	9	30	0	29	0	2	6	1	1
3010	6	14	12	30	0	29	0	2	6	1	1
3010	6	15	15	30	0	29	0	2	6	1	1
3010	6	16	18	30	0	29	0	2	6	1	1
3010	6	17	21	30	0	29	0	2	6	1	1
3010	6	18	24	30	0	29	0	2	6	1	1
3010	6	19	27	30	0	29	0	2	6	1	1
3010	6	20	30	30	0	29	0	2	6	1	1
3010	6	21	3	30	0	101	0	3	6	1	1
3010	6	22	6	30	0	101	0	3	6	1	1
3010	6	23	9	30	0	101	0	3	6	1	1
3010	6	24	12	30	0	101	0	3	6	1	1
3010	6	25	15	30	0	101	0	3	6	1	1
