,PID,logk,logs,paradigm,domain,AUC,percent_predicted,log_loss
67,4066,-3.506620983,-0.318377475,online,gain,0.473378559,0.92,0.322482765
68,4098,-2.314431905,2.221847621,online,gain,0.10215323,0.96,0.198118001
69,4070,-3.471543854,0.276021408,online,gain,0.435131947,0.94,0.310713473
70,4064,-2.406503138,0.07557741,online,gain,0.242066831,0.8,0.71324086
71,4003,-4.175079616,1.313339457,online,gain,0.661153233,0.84,0.67834974
72,4017,-4.864915909,-0.732158744,online,gain,0.637137031,0.8,0.814003838
73,4001,-2.295028666,0.690480587,online,gain,0.144970567,0.98,0.043022503
74,4038,-4.843902315,0.734314547,online,gain,0.850890325,0.98,0.133760302
75,4004,-3.892129976,0.099119135,online,gain,0.544118547,0.74,0.998223436
76,4010,-1.577523041,0.552077148,online,gain,0.082317335,0.82,0.757380563
77,4012,-3.301085894,1.820467405,online,gain,0.280629721,0.8,0.954174748
78,4007,-2.559987828,0.300042406,online,gain,0.233735505,0.76,0.886677
79,3016,-4.373919969,0.062838757,deferred,loss,0.651043037,0.9,0.476474533
80,3028,-6.449613057,-1.09583172,deferred,loss,0.715616571,0.84,0.492588274
81,3012,-4.433949727,1.806187486,deferred,loss,0.815418317,0.76,0.956768864
82,3006,-5.159144664,-0.074647765,deferred,loss,0.775186602,0.98,0.074862822
83,3048,-6.273160252,-0.590274803,deferred,loss,0.800824209,0.76,0.969627375
84,3061,-4.499055971,0.573208222,deferred,loss,0.737169839,0.76,1.073637551
85,3075,-5.749173075,0.09033812,deferred,loss,0.883618659,0.92,0.400095028
86,3062,-3.122062524,0.316432118,deferred,loss,0.346015349,0.84,0.509003352
87,3072,-2.801075639,-0.635263698,deferred,loss,0.395779125,0.86,0.49040277
88,3073,-6.495237248,0.684224297,deferred,loss,0.992043911,0.96,0.241697709
89,3071,-6.746808016,-0.975980999,deferred,loss,0.758514309,0.88,0.345049064
90,3070,-6.207691958,0.991499703,deferred,loss,0.996329136,0.76,0.887666708
91,3082,-4.748009272,-0.099131431,deferred,loss,0.704042229,0.84,0.689712259
92,3055,-4.54678039,0.79672127,deferred,loss,0.777776052,0.82,0.781894549
93,3040,-6.59750917,-1.488178626,deferred,loss,0.660327339,0.9,0.31912918
94,3054,-6.772383522,-1.363379399,deferred,loss,0.688847181,0.84,0.65117366
95,3081,-5.000166737,-0.132129674,deferred,loss,0.740705269,0.92,0.239550463
96,3095,-5.356375617,-0.987709611,deferred,loss,0.651244289,0.92,0.310407361
97,3042,-4.245150177,-0.5247129,deferred,loss,0.581375084,0.86,0.428578188
98,3056,-3.843722098,2.344075318,deferred,loss,0.469406738,0.72,1.235239669
99,3094,-3.130187572,2.03556749,deferred,loss,0.232998817,1,0.029981371
100,3047,-6.329294133,-0.673114451,deferred,loss,0.788587074,0.9,0.231624622
101,3053,-2.120541419,-1.701357152,deferred,loss,0.432829697,0.82,0.631403366
102,3046,-4.320434104,1.840513688,deferred,loss,0.748988505,0.8,0.707026119
103,3085,-6.247357157,0.925290896,deferred,loss,0.995420231,0.88,0.427603492
104,3093,-4.89243108,0.393393761,deferred,loss,0.808369589,0.94,0.256884768
105,3087,-5.626593867,-0.771729375,deferred,loss,0.707691484,0.96,0.085888627
106,3050,-2.43959861,1.894212185,deferred,loss,0.117888662,0.98,0.097878057
107,3022,-6.712019259,0.37636606,deferred,loss,0.981371953,0.94,0.206505209
108,3023,-5.966649878,0.108377172,deferred,loss,0.908222583,0.86,0.581452115
109,3037,-6.734883537,0.368985656,deferred,loss,0.981482731,0.96,0.21581907
110,3034,-5.274552661,0.226799024,deferred,loss,0.847472346,0.76,0.989576304
111,3024,-3.961829976,1.44640454,deferred,loss,0.552279997,0.82,0.772999164
112,3030,-6.402777703,-0.075995963,deferred,loss,0.912163649,0.98,0.131448907
113,3025,-4.320891053,1.236911886,deferred,loss,0.729229373,0.94,0.313324618
114,3033,-6.164640681,-0.763434243,deferred,loss,0.756766573,0.72,1.207438375
115,3026,-3.056016988,2.348202318,deferred,loss,0.213516066,0.68,1.489324976
116,4036,-5.782492339,-0.213161104,online,loss,0.829462783,0.96,0.172667168
117,4035,-5.810412454,0.456303408,online,loss,0.946182722,0.76,1.022520509
118,4018,-3.272845956,1.740374697,online,loss,0.274863219,0.96,0.124947345
119,4019,-3.542695359,0.557616646,online,loss,0.434712251,0.84,0.561760657
120,4025,-4.842903079,-0.745068636,online,loss,0.63330025,0.84,0.500551539
121,4031,-5.934534326,1.088024141,online,loss,0.995039303,0.9,0.512855819
122,4032,-4.847193911,-0.412024862,online,loss,0.675624092,0.9,0.324959784
123,4026,-3.202199781,1.864600492,online,loss,0.253298881,0.84,0.745931516
124,4096,-1.153926794,-0.188004067,online,loss,0.139585046,0.94,0.240071772
125,4069,-2.680050108,2.435935153,online,loss,0.14624969,0.7,1.31702919
126,4068,-3.99795425,0.128531837,online,loss,0.569703092,0.88,0.364192649
127,4097,-5.685658091,-0.905620305,online,loss,0.690834005,0.94,0.291935303
128,4083,-4.505773846,2.36642185,online,loss,0.88124191,0.96,0.072631259
129,4081,-2.393534691,2.754694658,online,loss,0.109162543,0.74,1.118823295
130,4056,-3.986118348,1.691960177,online,loss,0.556758719,0.9,0.311071287
131,4042,-3.961297007,0.532181281,online,loss,0.567160198,0.8,0.645977032
132,4043,-3.386306889,1.532132889,online,loss,0.315450809,0.92,0.399308252
133,4053,-6.223120505,-0.467920011,online,loss,0.821582153,0.92,0.138695128
134,4047,-3.796596422,0.082724072,online,loss,0.521887087,0.94,0.317327448
135,4091,-4.046951757,-0.544498024,online,loss,0.55347239,0.88,0.336045884
136,4044,-4.339545617,0.838230181,online,loss,0.711091849,1,0.047919263
137,4050,-5.927961847,-0.196106578,online,loss,0.848226904,0.82,0.687551875
138,4078,-3.353913462,2.175253189,online,loss,0.289412343,0.74,0.96635691
139,4051,-4.460057342,1.987803685,online,loss,0.838544331,0.92,0.415228002
140,4086,-2.06614197,1.68397283,online,loss,0.082774135,1,0.014401588
141,4048,-2.062335372,0.640403474,online,loss,0.120639705,1,0.024254775
142,4075,-3.52421797,2.020964693,online,loss,0.345777274,0.82,0.686292623
143,4049,-2.989014198,0.703140186,online,loss,0.269674455,0.8,0.877858044
144,4077,-3.983850979,1.658268185,online,loss,0.556617449,0.96,0.227485768
145,4063,-4.198758042,-0.879506774,online,loss,0.555995068,0.7,1.078409512
146,4076,-4.304988423,2.657319335,online,loss,0.738416926,0.98,0.147448307
147,4072,-3.331509123,1.638340054,online,loss,0.294692011,0.96,0.213824228
148,4073,-4.825596348,0.253847444,online,loss,0.772162599,0.96,0.214037172
149,4065,-6.045810914,-0.217002932,online,loss,0.855765485,0.88,0.470389537
150,4059,-2.958553398,0.537525179,online,loss,0.281707662,0.92,0.232332343
151,4016,-5.760082954,1.280405905,online,loss,0.996497864,0.78,1.066425159
152,4002,-3.031440469,2.568004847,online,loss,0.207217311,0.96,0.203203614
153,4014,-4.020222583,1.160238587,online,loss,0.58738871,0.92,0.243301574
154,4015,-4.820068393,-0.199900874,online,loss,0.701567069,0.9,0.342203367
155,4029,-5.370165268,-0.108631534,online,loss,0.799281316,0.94,0.176339389
156,4011,-3.17797694,-1.588750625,online,loss,0.477803354,0.9,0.433889564
157,4005,-4.184512121,0.416267944,online,loss,0.63154784,1,0.038272233
158,4039,-3.473085444,1.756867976,online,loss,0.335081255,1,0.036277849
159,4006,-2.978593735,0.602319349,online,loss,0.278609085,0.72,1.183295665
