,PID,logk,logs,paradigm,reward_mag,AUC,percent_predicted,log_loss
69,2010,-5.882347674,0.450162018,online,low,0.950790363,1,0.04437319
70,2038,-3.208864126,0.606287082,online,low,0.335204653,0.88,0.482420856
71,2039,-3.70156686,0.765894522,online,low,0.473120685,0.94,0.170171963
72,2076,-4.278649234,0.453771149,online,low,0.661406305,0.92,0.241255862
73,2063,-2.904224427,0.147822833,online,low,0.320024098,0.78,0.882586883
74,2074,-3.104076577,1.325184649,online,low,0.247339976,0.9,0.464571425
75,2065,-6.395926357,0.516298979,online,low,0.981666348,0.98,0.132284431
76,2067,-3.91778397,1.087430425,online,low,0.543530915,0.94,0.216732509
77,1011,-5.445338092,-0.188670552,deferred,high,0.794087426,0.9,0.468854571
78,1039,-3.001615726,0.2701816,deferred,high,0.324565284,0.82,0.626387147
79,1038,-3.293421994,-0.500831311,deferred,high,0.449081608,0.88,0.509916
80,1010,-2.514883233,-0.809390976,deferred,high,0.382419962,1,0.024800525
81,1004,-3.01796487,1.116381558,deferred,high,0.239449427,0.86,0.654980796
82,1014,-6.385968942,-0.103796712,deferred,high,0.90613848,1,0.020914232
83,1029,-4.295790503,-0.208997515,deferred,high,0.611946977,0.94,0.250868636
84,1016,-5.439287722,-0.032868463,deferred,high,0.822940769,0.94,0.16205263
85,1071,-3.451105347,-0.038432953,deferred,high,0.45050131,0.96,0.201448187
86,1064,-2.92303457,-0.07852302,deferred,high,0.352405231,0.92,0.25661694
87,1070,-3.262566732,-0.568332509,deferred,high,0.448480846,0.96,0.159293765
88,1099,-4.438009152,0.668298657,deferred,high,0.729169124,0.88,0.436226744
89,1066,-4.223322775,-0.627591079,deferred,high,0.572210727,0.84,0.61366517
90,1073,-2.646573606,0.679287129,deferred,high,0.201460399,0.86,0.627398429
91,1067,-6.268676535,-0.94007599,deferred,high,0.731299517,1,0.034252232
92,1089,-4.467677913,0.195063326,deferred,high,0.685688105,0.9,0.40411506
93,1048,-2.602823831,1.078295769,deferred,high,0.161591295,0.98,0.114732236
94,1100,-4.178926574,1.30547835,deferred,high,0.662975508,1,0.034863891
95,1061,-3.580382865,-2.306982419,deferred,high,0.499430285,0.88,0.433031201
96,1075,-4.926513776,0.964709613,deferred,high,0.902071372,1,0.045465688
97,1049,-3.752077041,1.334830154,deferred,high,0.460837506,0.94,0.299810982
98,1051,-4.357905892,0.092221344,deferred,high,0.650340151,0.88,0.427519582
99,1086,-4.036338581,-0.748375025,deferred,high,0.54440633,0.88,0.573833128
100,1084,-5.277101947,-0.286393939,deferred,high,0.753986763,0.9,0.423160672
101,1090,-4.116831734,-0.299593978,deferred,high,0.575288058,0.98,0.051791713
102,1052,-6.877707591,-0.813745071,deferred,high,0.800929719,0.84,0.761092142
103,1085,-3.453652563,-0.040220501,deferred,high,0.451122808,0.92,0.385181826
104,1042,-3.710910162,0.350182161,deferred,high,0.494895993,0.94,0.261907896
105,1056,-2.16378572,0.844372084,deferred,high,0.116745036,0.8,0.945058544
106,1057,-3.963443523,0.159512177,deferred,high,0.562179766,0.94,0.198147877
107,1080,-6.797826096,-0.404556674,deferred,high,0.879937529,0.98,0.037902115
108,1082,-4.559131511,-0.817590558,deferred,high,0.596459161,0.82,0.641535028
109,1069,-5.66168105,0.120780014,deferred,high,0.879386094,1,0.016055702
110,1055,-3.412374811,-0.627549746,deferred,high,0.470254813,0.88,0.561090807
111,1054,-5.044599135,0.488335312,deferred,high,0.854005269,0.98,0.113045027
112,1097,-7.662181345,-0.85062131,deferred,high,0.842082069,0.96,0.090643084
113,1033,-4.702451952,0.188848276,deferred,high,0.73670836,0.78,0.814967719
114,1027,-4.462514673,1.283163637,deferred,high,0.795941326,1,0.040156669
115,1032,-4.993186182,-0.054892602,deferred,high,0.752431946,1,0.031279932
116,1019,-6.685310607,-1.57661486,deferred,high,0.65198562,0.86,0.601378814
117,1031,-5.99520762,-1.080745528,deferred,high,0.686704009,0.94,0.304654919
118,1035,-4.669211547,0.708557104,deferred,high,0.802625339,0.94,0.28533226
119,1023,-1.580419169,-0.30709025,deferred,high,0.202067141,0.86,0.591084805
120,1037,-3.528743486,-0.130442408,deferred,high,0.470346965,0.9,0.47130734
121,2056,-2.530787898,-0.052152937,online,high,0.28189789,0.9,0.349761086
122,2083,-6.307813484,-0.440266637,online,high,0.834688362,0.94,0.223987315
123,2054,-3.033040249,0.478115722,online,high,0.3060286,0.82,0.771135776
124,2055,-6.940202819,-0.55180533,online,high,0.86017948,0.96,0.074783712
125,2086,-6.54400334,-0.298993692,online,high,0.882131654,0.96,0.138733257
126,2079,-2.145571407,-0.002609638,online,high,0.216292212,0.98,0.106628966
127,2085,-3.507717774,0.407691627,online,high,0.435367129,0.82,0.773047492
128,2053,-3.899904165,0.156422047,online,high,0.54659838,0.9,0.389412301
129,2008,-4.310047554,1.666868021,online,high,0.739530109,0.8,0.878524048
130,2034,-3.140811727,1.370639245,online,high,0.254131465,0.82,0.844670539
131,2009,-2.409696964,0.11646538,online,high,0.23615588,0.9,0.372155916
132,2037,-3.768196022,1.428705273,online,high,0.462991018,0.94,0.304654307
133,2023,-2.745568024,1.563533835,online,high,0.165866811,0.94,0.287718583
134,2026,-1.470726177,-0.318811815,online,high,0.192968053,0.84,0.690526882
135,2027,-3.560225383,0.736997229,online,high,0.427067915,0.84,0.761256069
136,2031,-3.822520788,1.934087458,online,high,0.467907693,0.78,0.959835853
137,2018,-3.507079679,1.038674011,online,high,0.385989347,0.98,0.051195765
138,2030,-1.34852376,-0.069232554,online,high,0.136938597,1,0.015755033
139,2024,-0.645193129,1.145588801,online,high,0.022422055,0.76,1.112747404
140,2001,-6.119653855,0.656047553,online,high,0.981793399,0.96,0.226410974
141,2014,-2.695704447,0.689478987,online,high,0.209447992,0.88,0.580728963
142,2017,-3.525718513,1.98955432,online,high,0.346939503,0.92,0.317222114
143,2006,-3.718319278,2.39520075,online,high,0.413495491,0.88,0.589218311
144,2011,-3.275410073,-0.142655236,online,high,0.423243861,0.76,1.015279769
145,2005,-2.525144863,0.234510967,online,high,0.237235391,0.92,0.329947402
146,2062,-3.250993158,-0.365412689,online,high,0.434833406,0.86,0.603617949
147,2075,-5.02648621,0.288910122,online,high,0.817001687,0.94,0.309675842
148,2061,-3.761203008,0.474529606,online,high,0.505445081,0.9,0.308636837
149,2060,-3.695125161,1.611588067,online,high,0.423408397,0.96,0.216061105
150,2048,-3.536873883,1.874717311,online,high,0.353564581,0.88,0.584113296
151,2070,-3.684187255,2.425676973,online,high,0.399298196,0.86,0.680937004
152,2064,-1.745624808,0.019680264,online,high,0.162702928,0.98,0.082790502
153,2059,-4.076523846,1.481678176,online,high,0.609823453,0.94,0.321060138
154,2073,-1.832435269,0.39986075,online,high,0.119592926,0.98,0.11387036
155,2072,-3.031547641,2.423204651,online,high,0.207917101,1,0.024111583
156,2066,-5.714444966,-0.631080292,online,high,0.741016799,0.8,0.853738975
