,logk,logs,logk_est,logk_est_L,logk_est_U,logs_est,logs_est_L,logs_est_U
0,-4.329681923673877,0.42152210084050135,-4.319338506761957,-4.428114927755534,-4.2103700110114435,0.6167069685679902,0.37324839601145815,0.8698691188176761
1,-2.7271881402210276,1.0609266700807383,-2.744124446835192,-2.8386118027385727,-2.6606076712881395,0.8999134048838984,0.6748969219856702,1.1246161771633583
2,-2.5429186939468935,0.9458411577518032,-2.4118643007471845,-2.513581390439574,-2.3172558792267557,0.9023012927859492,0.7052854724484227,1.099197918304236
3,-2.0500393896291116,-0.4573745703382022,-1.8745907547460827,-2.543909407291575,-1.0747713436474333,-0.7581685147069714,-1.1930337941438962,-0.4098270058469758
4,-2.0190060702347967,0.2630973538106347,-2.125079665982389,-2.2864773557457867,-1.9408375429204305,0.2680796052884483,0.03409120740419844,0.49912476275652246
5,-2.771343288482141,0.6618669501036537,-2.804492070144808,-2.9097521054345306,-2.7005682859444575,0.7169575788598265,0.5313413454159707,0.9190036177491882
6,-4.386174142753506,1.0579867657515694,-4.408558649428373,-4.492141710090982,-4.318373142413621,1.0025727342481723,0.7383211285644798,1.2669541152453296
7,-2.6677520524668377,0.7692038181225739,-2.635622896129436,-2.7198281289395068,-2.5364693058004897,0.8830954015072298,0.665991352157841,1.1073865031380372
8,-3.2973896361468436,0.8370355093892098,-3.245571796512128,-3.3589790750815274,-3.1477832756476816,0.7568428986974075,0.5501028072998138,0.9663625072032539
9,-2.5208659771832367,0.48971103081861644,-2.5496228341240332,-2.6566384022141287,-2.4486185239526406,0.6466605349902763,0.4353068700106918,0.8477213820809159
10,-3.405155473995433,0.9383462675804414,-3.4160472649227094,-3.5047947767190784,-3.337909850743229,0.9576509630407417,0.7447168129135402,1.1699569342970535
11,-1.7495545448244574,0.336130121067746,-1.8130567641950843,-1.9854666983105096,-1.621458173391792,0.6482858738682614,0.2621556611948142,1.0201658699462963
12,-4.669700533448548,0.11679418670284336,-4.831662083240443,-5.134307140063627,-4.5656186795923785,-0.035972803253135094,-0.3317083082072989,0.21431079505592762
13,-3.5454912075857425,-0.21941267524138452,-3.7412953624334366,-3.949930985293318,-3.5518196018825563,-0.25744803430536056,-0.4844541625634935,-0.045551103213404255
14,-4.707449137928738,-0.319668506514575,-4.5936603202148305,-4.914718658596607,-4.303298846199264,-0.1927830350582538,-0.47059266192139854,0.10131719412823209
15,-2.3396707022613223,-0.03918905885736812,-2.295048356671896,-2.5171890701819803,-2.059801614960953,-0.007884337625819322,-0.22910952789046674,0.21793351519736517
16,-2.0497573686678274,0.23117015474149893,-2.0374205954878124,-2.203186799987712,-1.8762374318063628,0.3709260134611312,0.08496177792672382,0.6297291190772739
17,-3.973611464049392,-0.6750838628338022,-3.9402862959004485,-4.246638423859097,-3.6552515293751555,-0.7095291584911934,-1.0091982066886762,-0.4202030712531788
